model,samples,frame_acc,macro_f1,edit,f1_10,f1_25,f1_50,checkpoint
asformer,129,25.65620447622831,22.746664326636104,14.108361444604718,13.367089193944647,7.1367824423949395,4.050927352938715,asformer_attention_v1.pth
mstcn,129,87.82148059859621,85.5824918149037,96.33125272660159,97.04619037040378,94.09330498249787,84.13054746844077,mstcn_v1.pth
