model,video,feature_path,label_path,frames,frame_acc,edit,f1_10,f1_25,f1_50
asformer,IMG_1030.npy,../data/features_enhanced\01spravne\IMG_1030.npy,../data/labels\01spravne\IMG_1030.txt,607,25.205930807248766,16.129032258064512,15.789473684210526,15.789473684210526,15.789473684210526
asformer,IMG_7645.npy,../data/features_enhanced\01spravne\IMG_7645.npy,../data/labels\01spravne\IMG_7645.txt,798,24.43609022556391,10.144927536231885,7.894736842105263,5.263157894736842,2.631578947368421
asformer,IMG_7646.npy,../data/features_enhanced\01spravne\IMG_7646.npy,../data/labels\01spravne\IMG_7646.txt,692,35.83815028901734,15.555555555555555,23.076923076923077,7.6923076923076925,3.8461538461538463
asformer,IMG_7647.npy,../data/features_enhanced\01spravne\IMG_7647.npy,../data/labels\01spravne\IMG_7647.txt,727,37.13892709766162,14.634146341463417,20.833333333333336,12.5,4.166666666666666
asformer,IMG_7648.npy,../data/features_enhanced\01spravne\IMG_7648.npy,../data/labels\01spravne\IMG_7648.txt,915,34.0983606557377,8.750000000000002,11.494252873563218,6.896551724137931,6.896551724137931
asformer,IMG_7649.npy,../data/features_enhanced\01spravne\IMG_7649.npy,../data/labels\01spravne\IMG_7649.txt,802,8.229426433915211,23.076923076923073,12.121212121212121,12.121212121212121,0.0
asformer,IMG_7650.npy,../data/features_enhanced\01spravne\IMG_7650.npy,../data/labels\01spravne\IMG_7650.txt,901,91.34295227524973,12.5,22.22222222222222,22.22222222222222,22.22222222222222
asformer,IMG_7651.npy,../data/features_enhanced\01spravne\IMG_7651.npy,../data/labels\01spravne\IMG_7651.txt,826,13.317191283292978,24.13793103448276,11.11111111111111,11.11111111111111,5.555555555555555
asformer,IMG_7652.npy,../data/features_enhanced\01spravne\IMG_7652.npy,../data/labels\01spravne\IMG_7652.txt,759,21.47562582345191,11.864406779661019,12.121212121212121,6.0606060606060606,0.0
asformer,IMG_7654.npy,../data/features_enhanced\01spravne\IMG_7654.npy,../data/labels\01spravne\IMG_7654.txt,743,15.612382234185734,10.29411764705882,8.0,2.666666666666667,0.0
asformer,IMG_7655.npy,../data/features_enhanced\01spravne\IMG_7655.npy,../data/labels\01spravne\IMG_7655.txt,700,18.142857142857142,13.461538461538458,16.94915254237288,10.16949152542373,3.389830508474576
asformer,IMG_9379.npy,../data/features_enhanced\01spravne\IMG_9379.npy,../data/labels\01spravne\IMG_9379.txt,784,8.290816326530612,7.4074074074074066,0.0,0.0,0.0
asformer,IMG_9380.npy,../data/features_enhanced\01spravne\IMG_9380.npy,../data/labels\01spravne\IMG_9380.txt,511,20.352250489236788,11.904761904761907,4.081632653061225,4.081632653061225,4.081632653061225
asformer,IMG_9381.npy,../data/features_enhanced\01spravne\IMG_9381.npy,../data/labels\01spravne\IMG_9381.txt,754,8.620689655172415,10.71428571428571,6.349206349206349,6.349206349206349,0.0
asformer,IMG_9382.npy,../data/features_enhanced\01spravne\IMG_9382.npy,../data/labels\01spravne\IMG_9382.txt,730,17.80821917808219,15.000000000000002,17.02127659574468,4.25531914893617,4.25531914893617
asformer,IMG_9383.npy,../data/features_enhanced\01spravne\IMG_9383.npy,../data/labels\01spravne\IMG_9383.txt,646,34.6749226006192,14.634146341463417,20.833333333333336,8.333333333333332,4.166666666666666
asformer,IMG_9384.npy,../data/features_enhanced\01spravne\IMG_9384.npy,../data/labels\01spravne\IMG_9384.txt,691,25.904486251808972,9.375,11.267605633802818,8.450704225352112,2.8169014084507045
asformer,IMG_9385.npy,../data/features_enhanced\01spravne\IMG_9385.npy,../data/labels\01spravne\IMG_9385.txt,724,21.408839779005525,12.244897959183676,10.714285714285714,7.142857142857142,3.571428571428571
asformer,IMG_9386.npy,../data/features_enhanced\01spravne\IMG_9386.npy,../data/labels\01spravne\IMG_9386.txt,704,20.454545454545457,14.28571428571429,12.5,9.375,3.125
asformer,IMG_9387.npy,../data/features_enhanced\01spravne\IMG_9387.npy,../data/labels\01spravne\IMG_9387.txt,585,30.427350427350426,15.000000000000002,21.27659574468085,8.51063829787234,4.25531914893617
asformer,IMG_9388.npy,../data/features_enhanced\01spravne\IMG_9388.npy,../data/labels\01spravne\IMG_9388.txt,629,28.61685214626391,11.32075471698113,10.0,6.666666666666667,3.3333333333333335
asformer,IMG_9391.npy,../data/features_enhanced\01spravne\IMG_9391.npy,../data/labels\01spravne\IMG_9391.txt,618,16.828478964401295,8.163265306122447,10.714285714285714,7.142857142857142,0.0
